Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_3,2,19,7,"F1, F5, F10, F11, F12, F13, F15",0.8936,0.578,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",1.23,DT,,,,10.0,gini,,,,
dataset_3,3,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8926,0.5998,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",1.44,DT,,,,5.0,entropy,,,,
dataset_3,4,19,7,"F1, F5, F10, F11, F12, F13, F15",0.882,0.5635,,,,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",1.21,DT,,,10.0,10.0,entropy,,,,
dataset_3,5,19,6,"F1, F10, F11, F12, F13, F15",0.9019,0.6327,,,,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",0.91,DT,,,10.0,10.0,entropy,,,,
dataset_3,6,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8977,0.6188,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",1.13,DT,,,,10.0,gini,,,,
dataset_3,7,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8967,0.6129,,,,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",1.17,DT,,,10.0,2.0,entropy,,,,
dataset_3,8,19,7,"F1, F5, F10, F11, F12, F13, F15",0.8946,0.5917,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",1.1,DT,,,,2.0,entropy,,,,
dataset_3,9,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8831,0.5811,,,,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.98,DT,,,10.0,5.0,gini,,,,
dataset_3,10,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8935,0.5886,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",1.31,DT,,,,5.0,entropy,,,,
dataset_3,1,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8801,0.5384,,,,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",16.65,RF,,,10.0,2.0,,100.0,,,
dataset_3,2,19,7,"F1, F5, F10, F11, F12, F13, F15",0.8926,0.5618,,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",23.49,RF,,,,2.0,,200.0,,,
dataset_3,3,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8926,0.5895,,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",18.15,RF,,,,2.0,,100.0,,,
dataset_3,4,19,7,"F1, F5, F10, F11, F12, F13, F15",0.8904,0.5707,,,,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",17.2,RF,,,,5.0,,200.0,,,
dataset_3,5,19,6,"F1, F10, F11, F12, F13, F15",0.8904,0.5738,,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",13.36,RF,,,,2.0,,100.0,,,
dataset_3,6,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.905,0.6035,,,,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",16.98,RF,,,10.0,5.0,,200.0,,,
dataset_3,7,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8998,0.6086,,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",14.64,RF,,,,2.0,,100.0,,,
dataset_3,8,19,7,"F1, F5, F10, F11, F12, F13, F15",0.9134,0.6622,,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",18.11,RF,,,,2.0,,200.0,,,
dataset_3,9,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8852,0.5801,,,,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",12.78,RF,,,,5.0,,100.0,,,
dataset_3,10,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8967,0.5946,,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",17.0,RF,,,,2.0,,100.0,,,
dataset_3,1,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8644,0.4695,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",45.8,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_3,2,19,7,"F1, F5, F10, F11, F12, F13, F15",0.8822,0.5211,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",46.42,MLP,,,,,,,"(128,)",0.01,0.0001
dataset_3,3,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8853,0.5298,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",60.55,MLP,,,,,,,"(64, 64)",0.001,0.001
dataset_3,4,19,7,"F1, F5, F10, F11, F12, F13, F15",0.8727,0.4693,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",1130.52,MLP,,,,,,,"(64,)",0.01,0.0001
dataset_3,5,19,6,"F1, F10, F11, F12, F13, F15",0.8841,0.5611,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",24.28,MLP,,,,,,,"(128,)",0.01,0.001
dataset_3,6,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8925,0.5383,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",30.09,MLP,,,,,,,"(64, 64)",0.01,0.001
dataset_3,7,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8894,0.5895,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",26.7,MLP,,,,,,,"(128,)",0.01,0.0001
dataset_3,8,19,7,"F1, F5, F10, F11, F12, F13, F15",0.8894,0.552,,,,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",27.94,MLP,,,,,,,"(64, 64)",0.01,0.001
dataset_3,9,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8862,0.5761,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",50.98,MLP,,,,,,,"(64, 64)",0.01,0.0001
dataset_3,10,19,8,"F1, F2, F5, F10, F11, F12, F13, F15",0.8831,0.5407,,,,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",60.39,MLP,,,,,,,"(64, 64)",0.001,0.0001
